item,user,rating,timestamp
B00001P4ZH,A2VFN33XFSDW9C,4.0,1502409600
B00001P4ZH,A19MJFMEE3035J,2.0,1489795200
B00001P4ZH,A1R42G8S6JIOEI,5.0,1485216000
B00001P4ZH,ABMF4UC4Z00NT,2.0,1473638400
B00001P4ZH,A2WJOOZA5T2KQ5,1.0,1462579200
B00001P4ZH,A3Z96U2AVVDJP,5.0,1458864000
B00001P4ZH,A3MNYXPFN6CX5B,5.0,1453766400
B00001P4ZH,A3NMEF3MJ0A3PL,5.0,1449273600
B00001P4ZH,A2RJW4DPSKQI5P,5.0,1439078400
B00001P4ZH,AZFJMFNXIM3LA,5.0,1435190400
B00001P4ZH,A2GVJ0P48DFKO0,5.0,1432166400
B00001P4ZH,ANW6EGY12V5XS,5.0,1431302400
B00001P4ZH,A1FD50DICTYSNZ,5.0,1425686400
B00001P4ZH,A1QHMFVUTVIAY,3.0,1425427200
B00001P4ZH,A2AEG6ML3ZIHBN,5.0,1424044800
B00001P4ZH,A2ED50E3KWKUKW,5.0,1422835200
B00001P4ZH,A14MCAGSOXXVTE,4.0,1422662400
B00001P4ZH,A1FLMSQGKKHSFR,5.0,1421971200
B00001P4ZH,AQLM9KYDBQLRY,5.0,1421452800
B00001P4ZH,A1CT6MLYNBG3L4,5.0,1420416000
B00001P4ZH,A39P9MWS8L0FZH,5.0,1418428800
B00001P4ZH,ABS2A1OWX5Q8,5.0,1418428800
B00001P4ZH,A7U2GPWUHBI4Z,5.0,1415836800
B00001P4ZH,A4JYFR3IWASS0,5.0,1412726400
B00001P4ZH,A4GGT6O0GQNV2,5.0,1405728000
B00001P4ZH,A26SCAZO579H8K,5.0,1404086400
B00001P4ZH,AAW4JYVF4B845,5.0,1398988800
B00001P4ZH,A54S9CIUV5VNB,4.0,1398643200
B00001P4ZH,A143X0EUX2LCDS,3.0,1393804800
B00001P4ZH,A3077MQTAKOVFZ,5.0,1388707200
B00001P4ZH,A1XE3M22N91451,4.0,1379030400
B00001P4ZH,A1ZPDS5KMCN8S5,5.0,1366934400
B00001P4ZH,A2WUGQKN584PCJ,5.0,1354924800
B00001P4ZH,AQ9O2ACE8C9WS,4.0,1348617600
B00001P4ZH,A3J8A5L5AF5TX9,4.0,1333584000
B00001P4ZH,A2RI4QE6EO29CA,5.0,1326585600
B00001P4ZH,A3ATYUPQYD15TK,5.0,1319932800
B00001P4ZH,AW6A4PPENVZY3,5.0,1292198400
B00001P4ZH,A2T2NVQ14BBBAS,5.0,1288569600
B00001WRSJ,A3Q2JMJNMVCGFI,5.0,1523145600
B00001WRSJ,A2H6BSS1LDKJ6U,1.0,1520726400
B00001P4ZH,A32LX4XJ2LU740,5.0,1265500800
B00001P4ZH,A2MBSC4S2PJNRD,5.0,1264809600
B00001P4ZH,A38FEJ8BPFY320,4.0,1264723200
